h_type	date	adress	loc	num_floor	unit_per_floor	north	sought	west	east	floor	area	num_sleep	tel	kitch	service	floor_covering	open	parking	warehouse	balcony	equipment	age	statuse	view	doc_status	nearby		price	unit_price
آپارتمان	1400/11/24	میرداماد بالاتراز خ نفت	3	5	3	1	0	0	0	2	152	3	3	MDF	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_چیلر_گاز	13	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9424000000	62000000
آپارتمان	1400/11/24	دیباجی جنوبی خ كاووس شرقی خ ضرابی	3	3	3	1	0	1	0	همكف و اول	132	2	2	MDF	فرنگی	پارکت	1	1	1	1	شوفاژ_کولر_حیاط_پاسیو_گاز	700	22	23	مسکونی	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9000000000	68181000
آپارتمان	1400/11/24	دیباجی جنوبی خ رحمانی	3	4	3	1	0	0	0	1	142	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	28	مسکونی	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_8500000000	59859000
آپارتمان	1400/11/24	دیباجی جنوبی منظریه جنوبی	3	3	3	1	1	0	0	همكف	79	2	1	MDF	ايرانی	سراميک	1	1	1	0	شوفاژ_کولر_گاز	3000	18	مسکونی	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5300000000	67080000
آپارتمان	1400/11/24	دولت نرسیده به مسجد اعظم	3	3	2	0	1	0	0	1	135	3	1	MDF	ايراني فرنگي	سراميک	0	1	1	1	شوفاژ_کولر_گاز	30	اجاره	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_14000000000	103703000
آپارتمان	1400/11/24	شریعتی نرسیده به مترو قلهك	3	5	2	0	1	0	0	5	105	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور	12	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5600000000	53333000
آپارتمان	1400/11/24	شریعتی نرسیده به مترو قلهك	3	5	2	1	0	0	0	3	115	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	شوفاژ_کولر_آسانسور_گاز	15	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6440000000	56000000
آپارتمان	1400/11/24	ملاصدرا شیراز شمالی	3	4	3	1	0	0	0	3	88	2	1	MDF	ايرانی	پارکت	1	1	1	1	شوفاژ_کولر_گاز	30	مسکونی	ترکیبی	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6160000000	70000000
آپارتمان	1400/11/24	شیخ بهایی شهرك والفجر	3	3	1	1	1	0	0	3	143	3	1	MDF	ايراني فرنگي	سراميک	0	1	1	1	کولر_گاز	29	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_8200000000	57342000
آپارتمان	1400/11/24	شریعتی بین ظفر و میرداماد	3	4	4	0	1	0	0	2	95	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_چیلر_گاز	30	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6500000000	68430000
آپارتمان	1400/11/24	ولیعصر روبروی پارك ملت	3	4	2	0	1	0	0	4	170	3	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	600	30	اجاره	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9350000000	55000000
آپارتمان	1400/11/24	جردن نرسیده به میرداماد	3	4	1	0	1	0	0	3	263	4	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_گاز	520	30	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_14465000000	55000000
آپارتمان	1400/11/24	جردن نرسیده به خ فرزان	3	7	4	0	1	0	0	1	117	2	1	هایگلاس	ايراني فرنگي	پارکت	1	1	1	0	کولر_فن کوئر_آسانسور_استخر_پاسیو_جکوزی_گاز	18	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6900000000	58974000
آپارتمان	1400/11/24	دولت چهارراه قنات	3	5	3	1	0	0	0	1	85	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_استخر_حیاط_سونا_جکوزی_گاز	5	اجاره	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7650000000	90000000
آپارتمان	1400/11/24	دولت 4 راه قنات سه راه منظریه	3	5	3	1	0	0	0	2	135	3	2	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12150000000	90000000
آپارتمان	1400/11/24	ونك خ خدامی	3	10	1	0	1	0	0	10	125	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_گاز	20	تخلیه	شيشه	مبايعه نامه	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7875000000	63000000
آپارتمان	1400/11/24	دولت انتهای خ اخلاقی شرقی	3	5	4	1	0	0	0	1	80	2	1	چوبي	ايراني فرنگي	پارکت	1	1	1	0	شوفاژ_کولر_آسانسور_گاز	14	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5000000000	62500000
آپارتمان	1400/11/24	ظفر نونهالان خ دانشگر	3	6	2	1	1	0	0	1	106	3	1	MDF	ايرانی	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	4	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6500000000	61320000
آپارتمان	1400/11/24	دیباجی جنوبی خ میثم	3	6	6	0	1	0	0	5	65	1	1	MDF	ايراني فرنگي	پارکت	1	1	1	0	شوفاژ_کولر_آسانسور_گاز	19	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_4000000000	61538000
آپارتمان	1400/11/24	پاسداران خ گلستان	3	5	1	0	1	0	0	2	313	4	1	چوبي	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج	2	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_39125000000	125000000
